,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
263,8.88794E+11,272210158,HP CONSUMER PRODUCTS,,J9M94UA#ABA,272210158,888793798324,00888793798324,,3-cell,8 Hour,,,Yes,,3,1,16:9,1600 x 900,"14""",NVIDIA,,,,,Chromebook,J9M94UA#ABA,HP Inc.,14-x040nr,Chromebook - 14-x040nr (ENERGY STAR),14-x000,HP,2 GB,DDR3L SDRAM,Chromebook - 14-x040nr (ENERGY STAR)Lithium Polymer BatteryAC Adapter,Yes,ENERGY STAR /  EPEAT Silver,Yes,Yes,IEEE 802.11ac,3.75 lb,Snow White /  Neon Green,"0.7""","13.5""","9.4""",,,2.30 GHz,Tegra K1,,Quad-core (4 Core),NVIDIA,Chrome OS,32-bit,Chrome OS,1 Year,Yes,,,
264,8.89297E+11,292332823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,8.89894E+11,293559289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,8.86228E+11,268946186,Asus,,T100TA-C1-GR(S),268946186,886227764945,00886227764945,,,,,Yes,,,1,1,16:9,1366 x 768,"10.1""",Intel,HD Graphics,DDR3 SDRAM,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,T100TA-C1-GR(S),ASUS Computer International,T100TA-C1-GR(S),Transformer Book T100TA-C1-GR(S) Net-tablet PC,T100TA,Asus,2 GB,DDR3 SDRAM,Transformer Book T100TA-C1-GR(S) Net-tablet PCAC AdapterKeyboard DockUser ManualWarranty Card,Yes,RoHS /  ENERGY STAR 4.0 /  ErP,Yes,Yes,IEEE 802.11 a/g/n,2.40 lb,Gray,"0.9""","10.4""","6.7""",No,64 GB,1.46 GHz,Atom,Z3775,Quad-core (4 Core),Intel,Windows 8.1,,Windows,1 Year,,,,
269,8.86228E+11,292336472,Asus,Asus,T100TA-DH11T-CA,292336472,886227828067,00886227828067,,2-cell,11 Hour,,Yes,,,1,1,16:9,1366 x 768,"10.1""",Intel,HD Graphics,DDR3 SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,T100TA-DH11T-CA,ASUS Computer International,T100TA-DH11T-CA,Transformer Book T100TA-DH11T-CA 2 in 1 Netbook,T100TA,Asus,2 GB,DDR3 SDRAM,Transformer Book T100TA-DH11T-CA 2 in 1 NetbookLithium Polymer BatteryAC AdapterKeyboard Dock,Yes,RoHS /  ENERGY STAR /  ErP,Yes,Yes,IEEE 802.11 a/g/n,2.30 lb,Gray,"0.9""","10.3""","6.7""",No,,1.33 GHz,Atom,Z3740,Quad-core (4 Core),Intel,Windows 8.1,32-bit,Windows,1 Year,Yes,Yes,Yes,32 GB
272,8.86228E+11,259910289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,8.86228E+11,285916247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,8.89895E+11,288372471,Hewlett Packard,,T4M35UT#ABA,288372471,889894582904,00889894582904,,3-cell,4.50 Hour,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R2,DDR3L SDRAM,Shared,,Notebook,T4M35UT#ABA,HP Inc.,,255 G4 Notebook PC (ENERGY STAR),255 G4,HP,4 GB,DDR3L SDRAM,255 G4 Notebook PC (ENERGY STAR)Lithium Polymer BatteryAC Adapter,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,4.63 lb,,"1""","15.1""","10""",DVD-Writer,,1.40 GHz,E-Series,E1-6015,Dual-core (2 Core),AMD,Windows 10 Home,64-bit,Windows,1 Year,,,,
275,8.89894E+11,284575841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,8.84116E+11,292620295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,8.88863E+11,293832264,Acer,,NX.SHGAA.001,293832264,841631102943,00841631102943,,3-cell,12 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"14""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.SHGAA.001,"Acer, Inc",AO1-431-C8G8,Aspire One Cloudbook 11 AO1-431-C8G8 Notebook,1-431,Acer,2 GB,DDR3L SDRAM,Aspire One Cloudbook 11 AO1-431-C8G8 NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,3.53 lb,Mineral Gray,"0.7""","13.4""","9.2""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Home,64-bit,Windows,1 Year,,,,32 GB
279,8.88863E+11,280917167,ACER- CHROME PRODUCTS,,NX.G14AA.001,280917167,888863142774,00888863142774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,8.89349E+11,280934875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,8.89297E+11,282211192,HP INC. - CONSUMER PRODUCTS,,M4C63UA#ABA,282211192,889296621539,00889296621539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,8.89349E+11,294506727,Asus,Asus,C202SA-YS02,294506727,889349335253,00889349335253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,8.88864E+11,293753903,Acer,,NX.VCHAA.001,293753903,888863591473,00888863591473,,4-cell,12 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.VCHAA.001,"Acer, Inc",TMB117-M-C0DK,TravelMate TMB117-M-C0DK Notebook,B117-MP,Acer,4 GB,DDR3L SDRAM,TravelMate TMB117-M-C0DK NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.09 lb,,"0.9""","11.5""","8.3""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,,,,,32 GB
287,8.86228E+11,271381869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,8.12177E+11,277578759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,7.95962E+11,292335033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,8.88863E+11,287010761,Acer,,DT.VMFAA.001,287010761,888863366804,00888863366804,,,,,,Yes,,5,4,,,No,,,,,,Nettop Computer,DT.VMFAA.001,"Acer, Inc",,Veriton N2510G Nettop Computer,N2510G,Acer,4 GB,DDR3L SDRAM,Veriton N2510G Nettop ComputerUSB KeyboardUSB Mouse,Yes,RoHS,Yes,Yes,,6 lb,,"1.3""","7.6""","8""",No,,1.60 GHz,Celeron,N3050,,Intel,FreeDOS,,DOS,,,,,
294,8.879E+11,267481625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,6.62725E+11,229198842,Wyse,,909700-01L,229198842,662724908002,00662724908002,,,8 Hour,,Yes,,Yes,3,2,16:9,1366 x 768,"14""",AMD,Radeon HD 6310,DDR3 SDRAM,Shared,,Notebook,909700-01L,"Dell, Inc",X50m,X50m Notebook,X,Wyse,2 GB,DDR3 SDRAM,X50m NotebookStandard BatteryAC Adapter,Yes,RoHS /  WEEE /  ENERGY STAR,,,IEEE 802.11n,3.80 lb,,"1.4""","13.5""","9.4""",,,1.60 GHz,,T56N,Dual-core (2 Core),AMD,Enhanced SUSE Linux Enterprise,,,1 Year,,,,2 GB
302,8.89895E+11,294355999,Hewlett Packard,,P4C66UA#ABA,294355999,889894928450,00889894928450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,8.88863E+11,290660117,Acer,,NT.MX3AA.008,290660117,888863492565,00888863492565,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.MX3AA.008,"Acer, Inc",SW3-013-185Z,Aspire SW3-013-185Z 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-185Z 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
305,8.89899E+11,293655838,HP INC. - CHROMEBOOKS,,V2W29UT#ABA,293655838,889899102572,00889899102572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,8.87899E+11,260245288,Acer,Acer,NX.MJAAA.004,260245288,887899441127,00887899441127,,3-cell,7.50 Hour,No,,Yes,,2,,16:9,1366 x 768,"11.6""",Intel,HD Graphics,,Shared,,Notebook,NX.MJAAA.004,"Acer, Inc",C720P-29554G01aii,C720P-29554G01aii Notebook,C720P,Acer,4 GB,DDR3L SDRAM, C720P-29554G01aii Notebook Lithium Polymer Battery AC Adapter ,,,Yes,Yes,IEEE 802.11a/b/g/n,2.98 lb,,"0.8""","11.3""","8""",No,16 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,,,,,,Yes,
308,8.86228E+11,268762778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,8.84116E+11,265607807,Dell,,i3541-2001BLK,265607807,884116146506,00884116146506,,4-cell,6.50 Hour,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,DDR3L SDRAM,Shared,TrueLife,Notebook,i3541-2001BLK,"Dell, Inc",15-3541,Inspiron 15-3541 Notebook,15 3000,Dell,4 GB,DDR3L SDRAM,Inspiron 15-3541 NotebookLithium Ion BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,5.26 lb,Black,"1""","15""","10.5""",DVD-Writer,,1.80 GHz,A-Series,A6-6310,Quad-core (4 Core),AMD,Windows 8.1 with SP1 (English),64-bit,Windows,1 Year,Yes,,No,
310,8.89894E+11,292333709,Hewlett Packard,,N5Y04UA,292333709,889894330550,00889894330550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,8.88794E+11,291465200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,8.88182E+11,269337587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,8.88863E+11,284118218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,8.89349E+11,295819919,Asus,Asus,X540LA-SI30205P,295819919,889349290477,00889349290477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,22265803295,292338476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,8.879E+11,264816820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,8.86228E+11,285927349,Asus,Asus,X551CA-RI3N15,285927349,886227654123,00886227654123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,8.88182E+11,255960723,HP CONSUMER PRODUCTS,,F0G99UA#ABA,255960723,888182131381,00888182131381,,,,,,,Yes,,,16:9,1366 x 768,"14""",,,,,,Chromebook,F0G99UA#ABA,HP Inc.,14-q010nr,Pavilion Chromebook 14-q010nr Notebook,14-q000,HP,2 GB,,Pavilion Chromebook 14-q010nr NotebookLithium Ion BatteryAC Adapter,Yes,RoHS,,Yes,IEEE 802.11n,,Snow White,,"13.7""",,,16 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,32-bit,Chrome OS,,,,,
328,8.89894E+11,287645041,Hewlett Packard,,N8J81UA#ABA,287645041,889894470973,00889894470973,,3-cell,,,,,,,,16:9,1366 x 768,"14""",Intel,HD Graphics,,Shared,,Chromebook,N8J81UA#ABA,HP Inc.,14-ak010nr,Chromebook 14-ak010nr Chromebook,14-ak000,HP,2 GB,, Chromebook 14-ak010nr Chromebook Standard Battery AC Adapter ,,,Yes,Yes,IEEE 802.11ac,,Ano Silver /  Snow White /  Turbo Silver,,,,,16 GB,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,No,
332,8.89296E+11,292334121,Hewlett Packard,,K7W76UA,292334121,889296076810,00889296076810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,8.89296E+11,292333869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,8.13567E+11,281396367,Gigabyte Technology,,GB-BXI3-5010,281396367,813567020219,00813567020219,,,,,,Yes,,4,4,,,,Intel,HD Graphics 5500,DDR3L SDRAM,Shared,,Desktop Computer,GB-BXI3-5010,"GIGABYTE Technology, Inc",GB-BXI3-5010,BRIX GB-BXI3-5010 Desktop Computer,,Gigabyte,No,DDR3L SDRAM,,,,Yes,Yes,,2.89 lb,,"4.8""","4.2""","4.5""",,,2.10 GHz,Core i3,i3-5010U,,Intel,,,,,,,,
344,8.86228E+11,271382043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,8.87899E+11,261081849,Acer,,UM.HH6AA.001,261081849,887899271236,00887899271236,,,,,,Yes,,,,16:9,,"27""",,,,,,LCD Monitor,UM.HH6AA.001,"Acer, Inc",H276HL,H276HL Widescreen LCD Monitor,H,Acer,,,H276HL Widescreen LCD Monitor1 x DVI Cable1 x HDMI Cable1 x VGA CablePower Cord,Yes,MPR II /  ENERGY STAR,,,,16 lb,Black,"5.2""",,,,,,,,,,,,,,,,,
351,8.89349E+11,283842922,ASUS - CHROMEBOOK,,C100PA-DB02,283842922,889349109946,00889349109946,,,,,Yes,,,2,,16:10,1280 x 800,"10.1""",ARM,Mali-T764,,,In-plane Switching (IPS) Technology,Net-tablet PC,C100PA-DB02,ASUS Computer International,C100PA-DB02,Chromebook Flip C100PA-DB02 Net-tablet PC,C100PA,Asus,4 GB,LPDDR3, Chromebook Flip C100PA-DB02 Net-tablet PC Lithium Polymer Battery AC Adapter User E-Manual Warranty Card ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2 lb,Silver,"0.6""","10.4""","7.2""",No,,1.80 GHz,Cortex A17,RK3288,Quad-core (4 Core),Rockchip,Chrome OS,,Chrome OS,1 Year,,,,16 GB
354,8.89028E+11,294505900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,22265962862,279342970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,8.86228E+11,261157636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,22265593561,285914901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,8.89234E+11,295866922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,8.89894E+11,285532892,Hewlett Packard,,P1A93UA#ABA,285532892,889894178107,00889894178107,,3-cell,,,,,,,,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,,Shared,,Notebook,P1A93UA#ABA,HP Inc.,15-af175nr,Notebook - 15-af175nr (TOUCH) (ENERGY STAR),15-af100,HP,4 GB,, Notebook - 15-af175nr (TOUCH) (ENERGY STAR) Standard Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,,White Silver /  Flyer Red,,,,DVD-Writer,,1.80 GHz,A-Series,A6-6310,Quad-core (4 Core),AMD,Windows 10,,Windows,,,,Yes,
362,8.86228E+11,260026933,Asus,Asus,D550MA-DS01,260026933,886227660605,00886227660605,,3-cell,4 Hour,,,Yes,Yes,2,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,90NB0481-M01490,ASUS Computer International,D550MA-DS01,D550MA-DS01 Notebook,D550MA,Asus,4 GB,DDR3 SDRAM, D550MA-DS01 Notebook AC Adapter User Manual Warranty Card ,Yes,RoHS /  ENERGY STAR 4.0 /  EPEAT,No,Yes,IEEE 802.11b/g/n,4.70 lb,Black,"1.2""","15""","9.9""",DVD-Writer,,1.86 GHz,Celeron,N2815,Dual-core (2 Core),Intel,Windows 8,64-bit,Windows,1 Year,Yes,,No,
364,8.84116E+11,267421691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,8.88794E+11,292332801,Hewlett Packard,,J9M24UA,292332801,888793574317,00888793574317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,8.879E+11,270480585,Acer,,NX.MQVAA.001,270480585,887899655227,00887899655227,,4-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,ComfyView,Notebook,NX.MQVAA.001,"Acer, Inc",E3-111-C1XL,Aspire E3-111-C1XL Notebook,E3-111,Acer,4 GB,DDR3L SDRAM,Aspire E3-111-C1XL NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,3.06 lb,Silver,"0.8""","11.5""","8.3""",No,,1.83 GHz,Celeron,N2940,Quad-core (4 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
374,6.80474E+11,278629564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,8.88863E+11,292337586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,8.88863E+11,287766092,Acer,,NT.MX3AA.005,287766092,888863333028,00888863333028,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.MX3AA.005,"Acer, Inc",SW3-013-1566,Aspire SW3-013-1566 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-1566 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
380,8.89297E+11,280521932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,8.88793E+11,295866930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,8.89801E+11,285867380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,8.88863E+11,277111440,ACER- CHROME PRODUCTS,,NX.EF3AA.004,277111440,888863051038,00888863051038,,4-cell,,No,,Yes,,2,1,16:9,1920 x 1080,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Chromebook,NX.EF3AA.004,"Acer, Inc",C910-C37P,C910-C37P Notebook,C910,Acer,4 GB,DDR3L SDRAM,C910-C37P NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,4.85 lb,Black,"1""","15.1""","10.1""",No,32 GB,1.50 GHz,Celeron,3205U,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
386,8.88794E+11,292333748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,8.89894E+11,285009981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,8.88794E+11,271886242,HP INC. - CONSUMER ENTRY,,K2L96UA#ABA,271886242,888793821121,00888793821121,,3-cell,7.75 Hour,,,Yes,,3,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,K2L96UA#ABA,HP Inc.,13-c010nr,Stream Notebook - 13-c010nr (ENERGY STAR),13-c000,HP,2 GB,DDR3L SDRAM, Stream Notebook - 13-c010nr (ENERGY STAR) Lithium Ion Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,3.42 lb,Blue Horizon,"0.8""","13.1""","9""",No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Windows 8.1 with Bing,64-bit,Windows,1 Year,Yes,,,
396,8.89661E+11,284120069,Toshiba,,PDW0GU-005005,284120069,889661016052,00889661016052,,2-cell,,,Yes,,,2,,16:10,1920 x 1200,"10.1""",Intel,HD Graphics,DDR3 SDRAM,Shared,TruBrite,2 in 1 Netbook,PDW0GU-005005,Toshiba,LX0W-C64,Satellite Click 10 LX0W-C64 2 in 1 Netbook,LX0W-C,Toshiba,2 GB,DDR3 SDRAM, Satellite Click 10 LX0W-C64 2 in 1 Netbook AC Adapter Keyboard Dock ,Yes,RoHS /  EPEAT Gold /  ENERGY STAR,Yes,Yes,IEEE 802.11 a/g/n,2.40 lb,Satin Gold,"0.8""","10.2""","7.3""",,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,1 Year,Yes,Yes,Yes,
397,8.86228E+11,264022437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7.8692E+11,292340640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,8.86228E+11,281872824,Asus,,90NB0481-M11340-RFBB,281872824,886227913671,00886227913671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,8.88864E+11,295877435,Acer,,NT.G0MAA.006,295877435,888863607914,00888863607914,,2-cell,,,Yes,,,1,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Notebook,NT.G0MAA.006,"Acer, Inc",SW3-013-12HH,Aspire Switch 10 E SW3-013-12HH Notebook,SW3-013,Acer,2 GB,DDR3L SDRAM, Aspire Switch 10 E SW3-013-12HH Notebook Lithium Polymer Battery AC Power Adapter AC Power Cord Keyboard Dock Setup Poster Registration/Limited Warranty Card ,,,Yes,Yes,IEEE 802.11a/b/g/n,2.54 lb,Peacock Blue,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,1 Year,Yes,Yes,Yes,32 GB
403,8.88864E+11,290195595,ACER - TABLETS,,NT.G8UAA.002,290195595,888863519330,00888863519330,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8UAA.002,"Acer, Inc",SW3-016-10LF,Aspire SW3-016-10LF Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-10LF Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
406,8.88864E+11,290195552,ACER - TABLETS,,NT.G8WAA.002,290195552,888863519354,00888863519354,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8WAA.002,"Acer, Inc",SW3-016-17WG,Aspire SW3-016-17WG Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-17WG Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
408,8.88863E+11,280917179,ACER- CHROME PRODUCTS,,NX.G14AA.002,280917179,888863175116,00888863175116,,4-cell,,No,,Yes,,2,2,16:9,1920 x 1080,"13.3""",NVIDIA,,DDR3L SDRAM,Shared,,Notebook,NX.G14AA.002,"Acer, Inc",C810-T9CA,C810-T9CA Notebook,C810,Acer,4 GB,DDR3L SDRAM,C810-T9CA NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,3.31 lb,,"0.7""","12.9""","9""",No,16 GB,2.10 GHz,Tegra K1,CD570M-A1,Quad-core (4 Core),NVIDIA,Chrome OS,,Chrome OS,,,,,
410,8.88793E+11,265059884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,8.88632E+11,268557075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,8.89801E+11,292141919,Lenovo,Lenovo,Flex 3-1130,292141919,889800933943,00889800933943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,8.88794E+11,292334087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,8.88863E+11,294118866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
